h2p_row;h2p_label;h2p_value;param_id;param_descript1;param_descript2;scale_function;norm_function;gate;;
80;MTunN;5;;;;;;;;
81;MTunT;6;;;;;;;;
82;Trsp;0;14; VCC; Transpose;scale_int_24_24;norm_int_24_24;;;
83;FTun;0.00;15; VCC; FineTuneCents;scale_float_100_100;norm_float_100_100;;;
84;Vc1;0.00;;;;;;;;
85;Vc2;0.00;;;;;;;;
86;Vc3;0.00;;;;;;;;
87;Vc4;0.00;;;;;;;;
88;Vc5;0.00;;;;;;;;
89;Vc6;0.00;;;;;;;;
90;Vc7;0.00;;;;;;;;
91;Vc8;0.00;;;;;;;;
92;Prior;0;16; VCC; Note Priority;scale_int_0_2;norm_int_0_2;;;
93;ContEn;1;;;;;;;;
94;#cm;OPT;;;;;;;;
95;V1T1;0.00;;;;;;;;
96;V2T1;-5.59;;;;;;;;
97;V3T1;-2.85;;;;;;;;
98;V4T1;10.00;;;;;;;;
99;V5T1;10.00;;;;;;;;
100;V6T1;-4.88;;;;;;;;
101;V7T1;-5.80;;;;;;;;
102;V8T1;0.68;;;;;;;;
103;V1T2;50.61;;;;;;;;
104;V2T2;100.00;;;;;;;;
105;V3T2;28.41;;;;;;;;
106;V4T2;20.98;;;;;;;;
107;V5T2;64.40;;;;;;;;
108;V6T2;59.47;;;;;;;;
109;V7T2;0.00;;;;;;;;
110;V8T2;76.13;;;;;;;;
111;V1T3;-100.00;;;;;;;;
112;V2T3;-19.06;;;;;;;;
113;V3T3;-9.78;;;;;;;;
114;V4T3;-71.16;;;;;;;;
115;V5T3;-57.69;;;;;;;;
116;V6T3;0.00;;;;;;;;
117;V7T3;-82.29;;;;;;;;
118;V8T3;-60.02;;;;;;;;
119;TSlop;35.00;20; OPT; TuneSlop/Detune AMT;scale_float_0_100;norm_float_0_100;;;
120;TPots;7;;;;;;;;
121;RndC;0;;;;;;;;
122;CSlop;10.00;21; OPT; CutoffSlop;scale_float_0_100;norm_float_0_100;;;
123;RndG;0;;;;;;;;
124;GSlop;10.00;22; OPT; GlideSlop;scale_float_0_100;norm_float_0_100;;;
125;RndP;0;;;;;;;;
126;PSlop;1.00;23; OPT; PWSlop;scale_float_0_100;norm_float_0_100;;;
127;RndE;0;;;;;;;;
128;ESlop;10.00;24; OPT; EnvrateSlop;scale_float_0_100;norm_float_0_100;;;
129;V1Mod;0.00;25; OPT; V1Mod;scale_float_100_100;norm_float_100_100;;;
130;V2Mod;0.00;26; OPT; V2Mod;scale_float_100_100;norm_float_100_100;;;
131;V3Mod;0.00;27; OPT; V3Mod;scale_float_100_100;norm_float_100_100;;;
132;V4Mod;0.00;28; OPT; V4Mod;scale_float_100_100;norm_float_100_100;;;
133;V5Mod;0.00;29; OPT; V5Mod;scale_float_100_100;norm_float_100_100;;;
134;V6Mod;0.00;30; OPT; V6Mod;scale_float_100_100;norm_float_100_100;;;
135;V7Mod;0.00;31; OPT; V7Mod;scale_float_100_100;norm_float_100_100;;;
136;V8Mod;0.00;32; OPT; V8Mod;scale_float_100_100;norm_float_100_100;;;
137;TransM;0;;;;;;;;
138;#cm;ENV1;;;;;;;;
139;Atk;1.00;33; ENV1; Attack;scale_float_0_100;norm_float_0_100;;;verified!
140;Dec;100.00;34; ENV1; Decay;scale_float_0_100;norm_float_0_100;;;verified!
141;Sus;100.00;35; ENV1; Sustain;scale_float_0_100;norm_float_0_100;;;verified!
142;Rel;0.00;36; ENV1; Release;scale_float_0_100;norm_float_0_100;;;verified!
143;Vel;0.00;37; ENV1; Velocity;scale_float_0_100;norm_float_0_100;;;
144;Model;1;38; ENV1; Model;scale_int_0_2;norm_int_0_2;;;
145;Trig;0;39; ENV1; Trigger;scale_placeholder;norm_placeholder;;;
146;Quant;0;40; ENV1; Quantise;scale_int_0_1;norm_int_0_1;;;
147;Crve;0;41; ENV1; Curve;scale_int_0_1;norm_int_0_1;;;
148;RelOn;0;42; ENV1; Release On;scale_int_0_1;norm_int_0_1;;;
149;KeyFlw;0.00;43; ENV1; KeyFollow;scale_float_0_100;norm_float_0_100;;;
150;#cm;ENV2;;;;;;;;
151;Atk;1.00;44; ENV2; Attack;scale_float_0_100;norm_float_0_100;;;
152;Dec;50.00;45; ENV2; Decay;scale_float_0_100;norm_float_0_100;;;
153;Sus;0.00;46; ENV2; Sustain;scale_float_0_100;norm_float_0_100;;;
154;Rel;20.00;47; ENV2; Release;scale_float_0_100;norm_float_0_100;;;
155;Vel;0.00;48; ENV2; Velocity;scale_float_0_100;norm_float_0_100;;;
156;Model;1;49; ENV2; Model;scale_int_0_2;norm_int_0_2;;;
157;Trig;0;50; ENV2; Trigger;scale_placeholder;norm_placeholder;;;
158;Quant;0;51; ENV2; Quantise;scale_int_0_1;norm_int_0_1;;;
159;Crve;0;52; ENV2; Curve;scale_int_0_1;norm_int_0_1;;;
160;RelOn;0;53; ENV2; Release On;scale_int_0_1;norm_int_0_1;;;
161;KeyFlw;0.00;54; ENV2; KeyFollow;scale_float_0_100;norm_float_0_100;;;
162;#cm;LFO1;;;;;;;;
163;Sync;-2;55; LFO1; Sync;scale_int_m3_23;norm_int_m3_23;;;
164;Trig;1;56; LFO1; Restart;scale_int_0_3;norm_int_0_3;;;
165;Wave;1;57; LFO1; Waveform;scale_int_0_7;norm_int_0_7;;;
166;Phse;0.00;58; LFO1; Phase;scale_float_0_100;norm_float_0_100;;;
167;Polar;0;272; LFO1; Polarity;scale_int_0_1;norm_int_0_1;;;
168;Dly;0.00;59; LFO1; Delay;scale_float_0_100;norm_float_0_100;;;
169;DMS1;1;60; LFO1; DepthMod Src1;scale_int_0_23;norm_int_0_23;;;
170;DMD1;100.00;61; LFO1; DepthMod Dpt1;scale_float_0_100;norm_float_0_100;gategate;;
171;Rate;0.00;62; LFO1; Rate;scale_float_5_5;norm_float_5_5;;;
172;FMS1;0;63; LFO1; FreqMod Src1;scale_int_0_23;norm_int_0_23;;;
173;FMD1;0.00;64; LFO1; FreqMod Dpt;scale_float_5_5;norm_float_5_5;gategate;;
174;#cm;LFO2;;;;;;;;
175;Sync;-2;65; LFO2; Sync;scale_int_3_23;norm_int_3_23;;;
176;Trig;1;66; LFO2; Restart;scale_int_0_3;norm_int_0_3;;;
177;Wave;1;67; LFO2; Waveform;scale_int_0_7;norm_int_0_7;;;
178;Phse;0.00;68; LFO2; Phase;scale_float_0_100;norm_float_0_100;;;
179;Polar;0;273; LFO2; Polarity;scale_int_0_1;norm_int_0_1;;;
180;Dly;0.00;69; LFO2; Delay;scale_float_0_100;norm_float_0_100;;;
181;DMS1;0;70; LFO2; DepthMod Src1;scale_int_0_23;norm_int_0_23;;;
182;DMD1;0.00;71; LFO2; DepthMod Dpt1;scale_float_0_100;norm_float_0_100;gategate;;
183;Rate;0.00;72; LFO2; Rate;scale_float_5_5;norm_float_5_5;;;
184;FMS1;0;73; LFO2; FreqMod Src1;scale_int_0_23;norm_int_0_23;;;
185;FMD1;0.00;74; LFO2; FreqMod Dpt;scale_float_5_5;norm_float_5_5;gategate;;
186;#cm;MOD;;;;;;;;
187;Quant;2.00;75; MOD; Quantise;scale_float_2_100;norm_float_2_100;;;
188;Slew;50.00;76; MOD; Slew Rate;scale_float_0_100;norm_float_0_100;;;
189;RSrc;0;77; MOD; RectifySource;scale_int_0_23;norm_int_0_23;;;
190;ISrc;0;78; MOD; InvertSource;scale_int_0_23;norm_int_0_23;;;
191;QSrc;0;79; MOD; QuantiseSource;scale_int_0_23;norm_int_0_23;;;
192;LSrc;0;80; MOD; LagSource;scale_int_0_23;norm_int_0_23;;;
193;A1Src;0;81; MOD; AddSource1;scale_int_0_23;norm_int_0_23;;;
194;A2Src;0;82; MOD; AddSource2;scale_int_0_23;norm_int_0_23;;;
195;M1Src;0;83; MOD; MulSource1;scale_int_0_23;norm_int_0_23;;;
196;M2Src;0;84; MOD; MulSource2;scale_int_0_23;norm_int_0_23;;;
197;#cm;OSC;;;;;;;;
198;Model;3;85; OSC; Model;scale_int_0_4;norm_int_0_4;gate;;
199;Tune1;0.00;86; OSC; Tune1;scale_fixed_octave;norm_fixed_octave;;;
200;Tune2;0.00;87; OSC; Tune2;scale_float_30_30;norm_float_30_30;;;
201;Tune3;0.00;88; OSC; Tune3;scale_float_30_30;norm_float_30_30;;;
202;VtoD;0.00;89; OSC; Vibrato;scale_float_0_100;norm_float_0_100;;;
203;PW;50.00;90; OSC; PulseWidth;scale_float_0_100;norm_float_0_100;;;
204;Shape1;5.00;91; OSC; Shape1;scale_float_1_9;norm_float_1_9;;;
205;Shape2;5.00;92; OSC; Shape2;scale_float_1_9;norm_float_1_9;;;
206;Shape3;5.00;93; OSC; Shape3;scale_float_1_9;norm_float_1_9;;;
207;FM;0.00;94; OSC; FM;scale_float_0_100;norm_float_0_100;;;
208;Sync2;0;95; OSC; Sync2;scale_int_0_1;norm_int_0_1;;;
209;OscMix;100.00;96; OSC; OscMix;scale_float_0_100;norm_float_0_100;;;
210;Vol1;50.00;97; OSC; Volume1;scale_float_0_100;norm_float_0_100;;;
211;Vol2;0.00;98; OSC; Volume2;scale_float_0_100;norm_float_0_100;gate;;
212;Vol3;0.00;99; OSC; Volume3;scale_float_0_100;norm_float_0_100;;;
213;PWShp;1;100; OSC; PulseShape;scale_int_0_3;norm_int_0_3;;;
214;SawShp;0;101; OSC; SawShape;scale_int_0_5;norm_int_0_5;;;
215;SubShp;0;102; OSC; SuboscShape;scale_int_0_5;norm_int_0_5;;;
216;TM1Src;15;103; OSC; Tune1ModSrc;scale_int_0_23;norm_int_0_23;;;
217;TM1Dpt;0.00;104; OSC; Tune1ModDepth;scale_float_24_24;norm_float_24_24;gate;;
218;TM2Src;17;105; OSC; Tune2ModSrc;scale_int_0_23;norm_int_0_23;;;
219;TM2Dpt;0.00;106; OSC; Tune2ModDepth;scale_float_24_24;norm_float_24_24;gate;;
220;PWMSrc;0;107; OSC; PWModSrc;scale_int_0_23;norm_int_0_23;;;
221;PWMDpt;0.00;108; OSC; PWModDepth;scale_float_50_50;norm_float_50_50;;;
222;Sh1Src;0;109; OSC; ShapeSrc;scale_int_0_23;norm_int_0_23;;;
223;Sh1Dpt;0.00;110; OSC; ShapeDepth;scale_float_50_50;norm_float_50_50;;;
224;Tri1;0;111; OSC; Triangle1On;scale_int_0_1;norm_int_0_1;;;
225;Sin2;0;112; OSC; Sine2On;scale_int_0_1;norm_int_0_1;;;
226;Saw1;1;113; OSC; Saw1On;scale_int_0_1;norm_int_0_1;;;
227;PWM1;0;114; OSC; Pwm1On;scale_int_0_1;norm_int_0_1;;;
228;Tri2;0;115; OSC; Triangle2On;scale_int_0_1;norm_int_0_1;;;
229;Saw2;1;116; OSC; Saw2On;scale_int_0_1;norm_int_0_1;;;
230;PW2;0;117; OSC; Pulse2On;scale_int_0_1;norm_int_0_1;;;
231;PWM2;1;118; OSC; PWM2On;scale_int_0_1;norm_int_0_1;;;
232;Noise1;0;119; OSC; Noise1On;scale_int_0_1;norm_int_0_1;;;
233;triSp;1;120; OSC; ShapeModel;scale_int_0_2;norm_int_0_2;;;
234;Sync3;0;121; OSC; Sync3;scale_int_0_1;norm_int_0_1;;;
235;Noise;0.00;122; OSC; NoiseVol;scale_int_0_4;norm_int_0_4;;;
236;NoiseC;0;123; OSC; NoiseColor;scale_int_0_1;norm_int_0_1;;;
237;TM1On;0;124; OSC; TuneModOsc1;scale_int_0_1;norm_int_0_1;;;
238;TM2On;0;125; OSC; TuneModOsc2;scale_int_0_1;norm_int_0_1;;;
239;TM3On;0;126; OSC; TuneModOsc3;scale_int_0_1;norm_int_0_1;;;
240;SM1On;0;127; OSC; ShapeModOsc1;scale_int_0_1;norm_int_0_1;;;
241;SM2On;0;128; OSC; ShapeModOsc2;scale_int_0_1;norm_int_0_1;;;
242;SM3On;0;129; OSC; ShapeModOsc3;scale_int_0_1;norm_int_0_1;;;
243;TMmode;0;130; OSC; TuneModMode;scale_placeholder;norm_placeholder;;;0 should be fine!
244;Wave1;2.00;131; OSC; EcoWave1;scale_int_1_4;norm_int_1_4;;;
245;Wave2;2.00;132; OSC; EcoWave2;scale_int_1_4;norm_int_1_4;;;
246;RMPwm;0;133; OSC; RingmodPulse;scale_int_0_1;norm_int_0_1;;;
247;Drift;35.00;134; OSC; Drift;scale_float_0_200;norm_float_0_200;;;
248;FmSrc;0;135; OSC; FmModSrc;scale_int_0_23;norm_int_0_23;;;
249;FmDpt;0.00;136; OSC; FmModDepth;scale_float_100_100;norm_float_100_100;gate;;
250;NoisSrc;0;137; OSC; NoiseVolModSrc;scale_int_0_23;norm_int_0_23;;;
251;NoisDpt;0.00;138; OSC; NoiseVolModDepth;scale_float_100_100;norm_float_100_100;;;
252;JpSp1;1;;;;;;;;
253;JpSp2;1;;;;;;;;
254;BpNoise;1;;;;;;;;
255;RstPh1;0.00;;;;;;;;
256;RstPh2;0.00;;;;;;;;
257;RstPh3;0.00;;;;;;;;
258;DgtlTp1;0;278; OSC; DigitalType1;scale_int_0_6;norm_int_0_6;;;
259;DgtlSp2;0.00;264; OSC; DigitalShape2;scale_float_0_100;norm_float_0_100;;;
260;DgtlTp2;0;279; OSC; DigitalType2;scale_int_0_6;norm_int_0_6;;;
261;DgtlSp3;50.00;265; OSC; DigitalShape3;scale_float_0_100;norm_float_0_100;;;
262;DgtlSp4;0.00;266; OSC; DigitalShape4;scale_float_0_100;norm_float_0_100;;;
263;DNoAlia;0;280; OSC; DigitalAntiAlias;scale_int_0_1;norm_int_0_1;;;
264;#cm;HPF;;;;;;;;
265;Model;3;139; HPF; Model;scale_int_0_3;norm_int_0_3;gate;;
266;Freq;30.00;140; HPF; Frequency;scale_float_30_150;norm_float_30_150;;;
267;Res;50.00;141; HPF; Resonance;scale_float_0_100;norm_float_0_100;;;
268;Rev;1;142; HPF; Revision;scale_int_1_2;norm_int_1_2;;;
269;KeyScl;0.00;143; HPF; KeyFollow;scale_placeholder;norm_placeholder;;;
270;FMSrc;15;144; HPF; FreqModSrc;scale_int_0_23;norm_int_0_23;;;
271;FMDpt;0.00;145; HPF; FreqModDepth;scale_float_120_120;norm_float_120_120;;;
272;PFreq;-1;146; HPF; Post-HPF Freq;scale_int_m1_3;norm_int_m1_3;;;
273;#cm;VCF1;;;;;;;;
274;Model;3;147; VCF1; Model;scale_float_0_4;norm_float_0_4;gate;;
275;Freq;147.00;148; VCF1; Frequency;scale_float_0_150;norm_float_0_150;;;VERIFIED
276;Res;0.00;149; VCF1; Resonance;scale_float_0_100;norm_float_0_100;;;
277;FMSrc;15;150; VCF1; FreqModSrc;scale_int_0_23;norm_int_0_23;;;
278;FMDpt;0.00;151; VCF1; FreqModDepth;scale_float_120_120;norm_float_120_120;gate;;
279;FM2Src;17;152; VCF1; FreqMod2Src;scale_int_0_23;norm_int_0_23;;;
280;FM2Dpt;0.00;153; VCF1; FreqMod2Depth;scale_float_120_120;norm_float_120_120;gate;;
281;KeyScl;0.00;154; VCF1; KeyFollow;scale_float_0_100;norm_float_0_100;;;
282;FFM;0.00;155; VCF1; FilterFM;scale_float_24_24;norm_float_24_24;;;
283;LMode;0;156; VCF1; LadderMode;scale_int_0_1;norm_int_0_1;;;
284;LColor;1;157; VCF1; LadderColor;scale_int_0_1;norm_int_0_1;;;
285;SkRev;1;158; VCF1; SlnKyRevision;scale_int_1_2;norm_int_1_2;;;
286;SvfMode;0;159; VCF1; SvfMode;scale_int_0_3;norm_int_0_3;;;
287;Fback;0.00;160; VCF1; Feedback;scale_float_0_100;norm_float_0_100;;;
288;ResSrc;0;161; VCF1; ResModSrc;scale_int_0_23;norm_int_0_23;;;
289;ResDpt;0.00;162; VCF1; ResModDepth;scale_float_100_100;norm_float_100_100;gate;;
290;FfmSrc;0;163; VCF1; FmAmountModSrc;scale_int_0_23;norm_int_0_23;;;
291;FfmDpt;0.00;164; VCF1; FmAmountModDepth;scale_float_24_24;norm_float_24_24;gate;;
292;FbSrc;0;165; VCF1; FeedbackModSrc;scale_int_0_23;norm_int_0_23;;;
293;FbDpt;0.00;166; VCF1; FeedbackModDepth;scale_float_100_100;norm_float_100_100;gate;;
294;InTune;1;;;;;;;;
295;ShpMix;0.00;267; VCF1; ShapeMix;scale_float_0_100;norm_float_0_100;;;
296;SMSrc;17;268; VCF1; ShapeModSrc;scale_int_0_23;norm_int_0_23;;;
297;SMDpt;0.00;269; VCF1; ShapeModDepth;scale_float_100_100;norm_float_100_100;gate;;
298;BpUbie;0;270; VCF1; UhbieBandpass;scale_int_0_1;norm_int_0_1;;;
299;#cm;VCA1;;;;;;;;
300;Pan;0.00;167; VCA1; Pan;scale_float_100_100;norm_float_100_100;;dont use;
301;Vol;50.00;168; VCA1; Volume;scale_float_0_100;norm_float_0_100;;dont use;
302;VCA;1;169; VCA1; VCA;scale_int_0_1;norm_int_0_1;;;
303;ModSrc;0;170; VCA1; Modulation;scale_int_0_23;norm_int_0_23;;;
304;ModDpt;0.00;171; VCA1; ModDepth;scale_float_100_100;norm_float_100_100;gate;;
305;PanSrc;17;172; VCA1; PanModulation;scale_int_0_23;norm_int_0_23;;;
306;PanDpt;0.00;173; VCA1; PanModDepth;scale_float_100_100;norm_float_100_100;gate;;
307;Mode;0;174; VCA1; Mode;scale_int_0_23;norm_int_0_23;;;
308;Offset;-0.12;175; VCA1; Offset;scale_placeholder;norm_placeholder;;;
309;#cm;Scope1;;;;;;;;
310;Mode;0;;;;;;;;
311;frq;-5.00;176; Scope1; Frequency;scale_float_8_8;norm_float_8_8;;dont use;
312;scl;0.00;177; Scope1; Scale;scale_float_5_5;norm_float_5_5;;dont use;
313;Inp;0;;;;;;;;
314;cs1;0.00;;;;;;;;
315;cs2;0.00;;;;;;;;
316;pc;0;;;;;;;;
317;Mod;0;;;;;;;;
318;#cm;FX1;;;;;;;;
319;Module;'Chorus1';178; FX1; Module;scale_int_0_4;norm_int_0_4;;;
320;#cm;Chrs1;;;;;;;;
321;Type;0;179; Chrs1; Type;scale_int_0_2;norm_int_0_2;;;
322;Rate;50.00;180; Chrs1; Rate;scale_float_0_100;norm_float_0_100;;;
323;Depth;50.00;181; Chrs1; Depth;scale_float_0_100;norm_float_0_100;;;
324;Wet;100.00;182; Chrs1; Wet;scale_float_0_100;norm_float_0_100;;;
325;#cm;Phase1;;;;;;;;
326;Type;0;183; Phase1; Type;scale_int_0_1;norm_int_0_1;;;
327;Rate;50.00;184; Phase1; Rate;scale_float_0_100;norm_float_0_100;;;
328;FB;0.00;185; Phase1; Feedback;scale_float_0_100;norm_float_0_100;;;
329;Stereo;0.00;186; Phase1; Stereo;scale_float_50_50;norm_float_50_50;;;
330;Sync;0;187; Phase1; Sync;scale_int_0_1;norm_int_0_1;;;
331;Phase;0.00;188; Phase1; Phase;scale_float_0_100;norm_float_0_100;;;
332;Wet;100.00;189; Phase1; Wet;scale_float_0_100;norm_float_0_100;;;
333;Depth;100.00;274; Phase1; Depth;scale_float_0_100;norm_float_0_100;;;
334;Center;50.00;275; Phase1; Center;scale_float_0_100;norm_float_0_100;;;
335;#cm;Plate1;;;;;;;;
336;Pre;0.00;190; Plate1; PreDelay;scale_float_0_250;norm_float_0_250;;;
337;Diff;100.00;191; Plate1; Diffusion;scale_float_0_100;norm_float_0_100;;;
338;Damp;80.00;192; Plate1; Damp;scale_float_0_100;norm_float_0_100;;;
339;Decay;50.00;193; Plate1; Decay;scale_float_0_100;norm_float_0_100;;;
340;Size;150.00;194; Plate1; Size;scale_float_1_200;norm_float_1_200;;;
341;Dry;90.00;195; Plate1; Dry;scale_float_0_100;norm_float_0_100;;;
342;Wet;40.00;196; Plate1; Wet;scale_float_0_100;norm_float_0_100;;;
343;#cm;Delay1;;;;;;;;
344;LDel;2.00;197; Delay1; Left Delay;scale_float_1_16;norm_float_1_16;;;
345;CDel;4.00;198; Delay1; Center Delay;scale_float_1_16;norm_float_1_16;;;
346;RDel;4.00;199; Delay1; Right Delay;scale_float_1_16;norm_float_1_16;;;
347;SVol;20.00;200; Delay1; Side Vol;scale_float_0_100;norm_float_0_100;;;
348;CVol;0.00;201; Delay1; Center Vol;scale_float_0_100;norm_float_0_100;;;
349;FeedB;25.00;202; Delay1; Feedback;scale_float_0_100;norm_float_0_100;;;
350;HP;0.00;203; Delay1; HP;scale_float_0_100;norm_float_0_100;;;
351;LP;100.00;204; Delay1; LP;scale_float_0_100;norm_float_0_100;;;
352;Dry;100.00;205; Delay1; Dry;scale_float_0_100;norm_float_0_100;;;
353;Wow;50.00;206; Delay1; Wow;scale_float_0_100;norm_float_0_100;;;
354;#cm;Rtary1;;;;;;;;
355;Mode;0;207; Rtary1; Mode;;;;;
356;Mix;100.00;208; Rtary1; Mix;;;;;
357;Bal;50.00;209; Rtary1; Balance;;;;;
358;Drive;0.00;210; Rtary1; Drive;;;;;
359;Stereo;100.00;211; Rtary1; Stereo;;;;;
360;Out;0.00;212; Rtary1; Out;;;;;
361;Slow;30.00;213; Rtary1; Slow;;;;;
362;Fast;85.00;214; Rtary1; Fast;;;;;
363;RTime;50.00;215; Rtary1; RiseTime;;;;;
364;Cont;0;216; Rtary1; Controller;;;;;
365;#cm;FX2;;;;;;;;
366;Module;'Delay2';217; FX2; Module;scale_int_0_4;norm_int_0_4;;;
367;#cm;Chrs2;;;;;;;;
368;Type;0;218; Chrs2; Type;scale_int_0_2;norm_int_0_2;;;
369;Rate;50.00;219; Chrs2; Rate;scale_float_0_100;norm_float_0_100;;;
370;Depth;50.00;220; Chrs2; Depth;scale_float_0_100;norm_float_0_100;;;
371;Wet;100.00;221; Chrs2; Wet;scale_float_0_100;norm_float_0_100;;;
372;#cm;Phase2;;;;;;;;
373;Type;0;222; Phase2; Type;scale_int_0_1;norm_int_0_1;;;
374;Rate;50.00;223; Phase2; Rate;scale_float_0_100;norm_float_0_100;;;
375;FB;0.00;224; Phase2; Feedback;scale_float_0_100;norm_float_0_100;;;
376;Stereo;0.00;225; Phase2; Stereo;scale_float_50_50;norm_float_50_50;;;
377;Sync;0;226; Phase2; Sync;scale_int_0_1;norm_int_0_1;;;
378;Phase;0.00;227; Phase2; Phase;scale_float_0_100;norm_float_0_100;;;
379;Wet;100.00;228; Phase2; Wet;scale_float_0_100;norm_float_0_100;;;
380;Depth;100.00;276; Phase2; Depth;scale_float_0_100;norm_float_0_100;;;
381;Center;50.00;277; Phase2; Center;scale_float_0_100;norm_float_0_100;;;
382;#cm;Plate2;;;;;;;;
383;Pre;0.00;229; Plate2; PreDelay;scale_float_0_250;norm_float_0_250;;;
384;Diff;100.00;230; Plate2; Diffusion;scale_float_0_100;norm_float_0_100;;;
385;Damp;80.00;231; Plate2; Damp;scale_float_0_100;norm_float_0_100;;;
386;Decay;50.00;232; Plate2; Decay;scale_float_0_100;norm_float_0_100;;;
387;Size;150.00;233; Plate2; Size;scale_float_1_200;norm_float_1_200;;;
388;Dry;90.00;234; Plate2; Dry;scale_float_0_100;norm_float_0_100;;;
389;Wet;40.00;235; Plate2; Wet;scale_float_0_100;norm_float_0_100;;;
390;#cm;Delay2;;;;;;;;
391;LDel;2.00;236; Delay2; Left Delay;scale_float_1_16;norm_float_1_16;;;
392;CDel;4.00;237; Delay2; Center Delay;scale_float_1_16;norm_float_1_16;;;
393;RDel;4.00;238; Delay2; Right Delay;scale_float_1_16;norm_float_1_16;;;
394;SVol;20.00;239; Delay2; Side Vol;scale_float_0_100;norm_float_0_100;;;
395;CVol;0.00;240; Delay2; Center Vol;scale_float_0_100;norm_float_0_100;;;
396;FeedB;25.00;241; Delay2; Feedback;scale_float_0_100;norm_float_0_100;;;
397;HP;0.00;242; Delay2; HP;scale_float_0_100;norm_float_0_100;;;
398;LP;100.00;243; Delay2; LP;scale_float_0_100;norm_float_0_100;;;
399;Dry;100.00;244; Delay2; Dry;scale_float_0_100;norm_float_0_100;;;
